slice,B_Area1_5
42,0.02067
42,0.002153
42,0.000369
42,0.4612
42,0.001722
42,0.01827
42,0.000062
42,0.000062
43,0.0139
43,0.000185
43,0.5254
43,0.000185
43,0.004798
44,0.009596
44,0.000123
44,0.5165
44,0.000185
44,0.000554
44,0.001353
44,0.000185
45,0.02098
45,0.005782
45,0.6324
46,0.06348
46,0.6729
46,0.000492
46,0.000369
47,0.09141
47,0.7126
47,0.0008
47,0.000062
47,0.000062
48,0.1562
48,0.000246
48,0.2974
48,0.4655
49,0.1992
49,0.2783
49,0.4596
49,0.008735
49,0.000185
50,0.7574
50,0.2697
50,0.000062
51,0.7908
51,0.2656
51,0.000431
52,0.7699
52,0.000185
52,0.267
53,0.7272
53,0.26
53,0.01956
54,0.6923
54,0.000062
54,0.000123
54,0.264
54,0.001353
54,0.01181
54,0.000984
55,0.6633
55,0.2596
56,0.8859
56,0.000062
56,0.001415
56,0.000062
57,0.8439
57,0.000246
57,0.000062
57,0.000062
57,0.000185
58,0.7967
58,0.000123
59,0.6964
59,0.003752
60,0.6524
60,0.000123
60,0.000062
60,0.000123
60,0.005721
61,0.3634
61,0.2002
61,0.007382
61,0.01163
62,0.09492
62,0.00326
62,0.01741
62,0.000369
62,0.1406
62,0.000185
62,0.1821
62,0.00326
62,0.01753
63,0.03002
63,0.000554
63,0.182
63,0.000062
63,0.1169
63,0.003629
63,0.01772
63,0.000062
64,0.1841
64,0.0908
64,0.003445
64,0.01975
64,0.01735
65,0.2057
65,0.05789
65,0.000246
65,0.002215
65,0.0585
65,0.000308
66,0.002153
66,0.000062
66,0.000369
66,0.2245
66,0.03752
66,0.000984
66,0.000185
66,0.001599
66,0.001415
66,0.05296
67,0.001107
67,0.000062
67,0.002153
67,0.03328
67,0.2267
67,0.000185
67,0.000123
67,0.003137
67,0.04909
67,0.000246
68,0.002092
68,0.03433
68,0.001169
68,0.2501
68,0.04767
69,0.05438
69,0.2763
69,0.000062
69,0.001046
69,0.004429
69,0.04189
69,0.000062
70,0.000308
