slice,B_Area4
15,0.00326
15,0.03279
15,0.000308
15,0.000062
15,0.000062
15,0.000369
15,0.000062
15,0.000308
15,0.000554
15,0.000492
15,0.000062
15,0.001415
15,0.0008
15,0.000246
15,0.1064
15,0.4878
15,0.002092
15,0.000308
15,0.02504
15,0.000431
15,0.009104
15,0.002891
15,0.005659
15,0.001722
15,0.000062
15,0.01046
15,0.000185
15,0.005536
15,0.09
15,0.03568
15,0.0008
15,0.000062
15,0.000185
15,0.01304
15,0.003568
15,0.000062
15,0.008058
15,0.004491
15,0.000246
15,0.000677
15,0.000123
15,0.000062
15,0.000062
15,0.000062
16,0.000123
16,0.1733
16,0.6673
16,0.000062
16,0.000246
16,0.000062
16,0.618
16,0.000062
16,0.000677
16,0.02627
16,0.000123
16,0.02042
16,0.17
16,0.000185
16,0.000062
16,0.000185
16,0.000861
16,0.0008
16,0.000185
16,0.02264
16,0.1023
16,0.6252
16,0.0374
16,0.000062
16,0.000123
16,0.000062
16,0.007812
16,0.002338
16,0.08649
16,0.006644
16,0.002707
16,0.000123
16,0.005659
16,0.000062
16,0.000308
16,0.000062
16,0.000062
16,0.000123
16,0.000861
16,0.000123
16,0.000062
16,0.000738
16,0.000246
16,0.006151
16,0.001292
16,0.005967
16,0.000062
16,0.01101
16,0.000062
16,0.000062
17,0.000369
17,0.000062
17,0.1573
17,0.6802
17,0.000246
17,0.5702
17,0.009535
17,0.01163
17,0.01562
17,0.1754
17,0.000062
17,0.000246
17,0.001599
17,0.000923
17,0.002953
17,0.001353
17,0.02215
17,0.09756
17,0.001046
17,0.6523
17,0.000369
17,0.006951
17,0.01156
17,0.08649
17,0.000062
17,0.000554
17,0.000246
17,0.000123
17,0.06582
17,0.000308
17,0.000123
17,0.02165
17,0.000062
17,0.000185
18,0.001722
18,0.000062
18,0.1527
18,0.000861
18,0.6118
18,0.5362
18,0.000246
18,0.000246
18,0.000123
18,0.01255
18,0.1565
18,0.000062
18,0.000123
18,0.1295
18,0.008366
18,0.000062
18,0.009904
18,0.000062
18,0.01581
18,0.7389
18,0.002891
18,0.000185
18,0.00486
18,0.01206
18,0.08255
18,0.000062
18,0.000062
18,0.000062
18,0.000062
18,0.000861
18,0.000062
18,0.000062
18,0.000185
18,0.000123
18,0.002645
18,0.000738
18,0.03125
18,0.000246
19,0.000861
19,0.000738
19,0.000062
19,0.1334
19,0.000062
19,0.1639
19,0.6658
19,0.000615
19,0.3397
19,0.0163
19,0.000062
19,0.009781
19,0.005167
19,0.1777
19,0.000246
19,0.000492
19,0.001661
19,0.004245
19,0.000554
19,0.000984
19,0.000062
19,0.01975
19,0.003568
19,0.6796
19,0.000123
19,0.000308
19,0.0123
19,0.007013
19,0.08544
19,0.000062
19,0.000062
19,0.05678
19,0.01519
19,0.000185
19,0.000062
20,0.000062
20,0.000062
20,0.000062
